관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ성산11,2024-02-01,S11,64.834,,,,,,,2024-02
JQ성산11,2024-03-01,S11,62.723,,,,,,,2024-03
JQ성산11,2024-04-01,S11,62.962,,,,,,,2024-04
JQ성산11,2024-05-01,S11,62.769,,,,,,,2024-05
JQ성산11,2024-06-01,S11,61.4,,,,,,,2024-06
JQ성산11,2024-07-01,S11,63.651,,,,,,,2024-07
JQ성산11,2024-08-01,S11,62.07,,,,,,,2024-08
JQ성산11,2024-09-01,S11,58.531,,,,,,,2024-09
JQ성산11,2024-10-01,S11,58.58,,,,,,,2024-10
JQ성산11,2024-11-01,S11,63.145,,,,,,,2024-11
JQ성산11,2024-12-01,S11,59.519,,,,,,,2024-12
JQ성산11,2025-01-01,S11,54.605,,,,,,,2025-01
JQ성산11,2025-02-01,S11,57.412,,,,,,,2025-02
JQ성산11,2025-03-01,S11,61.612,,,,,,,2025-03
JQ성산11,2025-04-01,S11,59.197,,,,,,,2025-04
JQ성산11,2025-05-01,S11,63.143,,,,,,,2025-05
JQ성산11,2025-06-01,S11,62.475,,,,,,,2025-06
JQ성산11,2025-07-01,S11,61.909,,,,,,,2025-07
JQ성산11,2025-08-01,S11,59.003,,,,,,,2025-08
JQ성산11,2025-09-01,S11,62.698,,,,,,,2025-09
JQ성산11,2025-10-01,S11,63.425,,,,,,,2025-10
JQ성산11,2025-11-01,S11,59.286,,,,,,,2025-11
JQ성산11,2025-12-01,S11,54.713,,,,,,,2025-12
JQ성산11,2026-01-01,S11,53.75,54.25,3.82,17.03,135.0,1017.8,13.18,2026-01
JQ성산11,2026-02-01,S11,54.12,53.88,4.19,17.0,137.0,1015.76,13.18,2026-02
JQ성산11,2026-03-01,S11,57.34,50.66,7.41,17.02,142.0,1014.89,13.22,2026-03
JQ성산11,2026-04-01,S11,63.09,44.91,12.76,17.06,145.0,1008.44,13.25,2026-04
JQ성산11,2026-05-01,S11,62.17,45.83,11.66,17.08,140.0,1008.24,13.28,2026-05
JQ성산11,2026-06-01,S11,65.3,42.7,14.79,17.09,144.0,1004.04,13.27,2026-06
