관측소명,날짜,EL,센서,GL,Pressure,Temp,EC,Barometa,Battery
JQ수산5,2020-07-29,10.38,,,,,,,
JQ수산5,2020-07-30,10.41,,,,,,,
JQ수산5,2020-07-31,10.46,,,,,,,
JQ수산5,2020-08-01,10.51,,,,,,,
JQ수산5,2020-08-02,10.55,,,,,,,
JQ수산5,2020-08-03,10.59,,,,,,,
JQ수산5,2020-08-04,10.61,,,,,,,
JQ수산5,2020-08-05,10.65,,,,,,,
JQ수산5,2020-08-06,10.69,,,,,,,
JQ수산5,2020-08-07,10.73,,,,,,,
JQ수산5,2020-08-08,10.77,,,,,,,
JQ수산5,2020-08-09,10.79,,,,,,,
JQ수산5,2020-08-10,10.82,,,,,,,
JQ수산5,2020-08-11,10.82,,,,,,,
JQ수산5,2020-08-12,10.84,,,,,,,
JQ수산5,2020-08-13,10.88,,,,,,,
JQ수산5,2020-08-14,10.91,,,,,,,
JQ수산5,2020-08-15,10.91,,,,,,,
JQ수산5,2020-08-16,10.92,,,,,,,
JQ수산5,2020-08-17,10.94,,,,,,,
JQ수산5,2020-08-18,10.96,,,,,,,
JQ수산5,2020-08-19,10.97,,,,,,,
JQ수산5,2020-08-20,10.96,,,,,,,
JQ수산5,2020-08-21,10.97,,,,,,,
JQ수산5,2020-08-22,10.99,,,,,,,
JQ수산5,2020-08-23,11.03,,,,,,,
JQ수산5,2020-08-24,11.06,,,,,,,
JQ수산5,2020-08-25,11.09,,,,,,,
JQ수산5,2020-08-26,11.15,,,,,,,
JQ수산5,2020-08-27,11.14,,,,,,,
JQ수산5,2020-08-28,11.17,,,,,,,
JQ수산5,2020-08-29,11.2,,,,,,,
JQ수산5,2020-08-30,11.23,,,,,,,
JQ수산5,2020-08-31,11.27,,,,,,,
JQ수산5,2020-09-01,11.33,,,,,,,
JQ수산5,2020-09-02,11.45,,,,,,,
JQ수산5,2020-09-03,11.41,,,,,,,
JQ수산5,2020-09-04,11.51,,,,,,,
JQ수산5,2020-09-05,11.65,,,,,,,
JQ수산5,2020-09-06,11.83,,,,,,,
JQ수산5,2020-09-07,12.0,,,,,,,
JQ수산5,2020-09-08,12.13,,,,,,,
JQ수산5,2020-09-09,12.43,,,,,,,
JQ수산5,2020-09-10,12.7,,,,,,,
JQ수산5,2020-09-11,12.96,,,,,,,
JQ수산5,2020-09-12,13.25,,,,,,,
JQ수산5,2020-09-13,13.55,,,,,,,
JQ수산5,2020-09-14,13.87,,,,,,,
JQ수산5,2020-09-15,14.2,,,,,,,
JQ수산5,2020-09-16,14.53,,,,,,,
JQ수산5,2020-09-17,14.82,,,,,,,
JQ수산5,2020-09-18,15.1,,,,,,,
JQ수산5,2020-09-19,15.38,,,,,,,
JQ수산5,2020-09-20,15.67,,,,,,,
JQ수산5,2020-09-21,15.95,,,,,,,
JQ수산5,2020-09-22,16.21,,,,,,,
JQ수산5,2020-09-23,16.46,,,,,,,
JQ수산5,2020-09-24,16.71,,,,,,,
JQ수산5,2020-09-25,16.94,,,,,,,
JQ수산5,2020-09-26,17.13,,,,,,,
JQ수산5,2020-09-27,17.32,,,,,,,
JQ수산5,2020-09-28,17.52,,,,,,,
JQ수산5,2020-09-29,17.71,,,,,,,
JQ수산5,2020-09-30,17.87,,,,,,,
JQ수산5,2020-10-01,18.0,,,,,,,
JQ수산5,2020-10-02,18.13,,,,,,,
JQ수산5,2020-10-03,18.26,,,,,,,
JQ수산5,2020-10-04,18.39,,,,,,,
JQ수산5,2020-10-05,18.45,,,,,,,
JQ수산5,2020-10-06,18.54,,,,,,,
JQ수산5,2020-10-07,18.62,,,,,,,
JQ수산5,2020-10-08,18.7,,,,,,,
JQ수산5,2020-10-09,18.78,,,,,,,
JQ수산5,2020-10-10,18.86,,,,,,,
JQ수산5,2020-10-11,18.92,,,,,,,
JQ수산5,2020-10-12,18.97,,,,,,,
JQ수산5,2020-10-13,18.99,,,,,,,
JQ수산5,2020-10-14,19.01,,,,,,,
JQ수산5,2020-10-15,19.05,,,,,,,
JQ수산5,2020-10-16,19.09,,,,,,,
JQ수산5,2020-10-17,19.13,,,,,,,
JQ수산5,2020-10-18,19.15,,,,,,,
JQ수산5,2020-10-19,19.16,,,,,,,
JQ수산5,2020-10-20,19.18,,,,,,,
JQ수산5,2020-10-21,19.23,,,,,,,
JQ수산5,2020-10-22,19.26,,,,,,,
JQ수산5,2020-10-23,19.26,,,,,,,
JQ수산5,2020-10-24,19.24,,,,,,,
JQ수산5,2020-10-25,19.25,,,,,,,
JQ수산5,2020-10-26,19.25,,,,,,,
JQ수산5,2020-10-27,19.24,,,,,,,
JQ수산5,2020-10-28,19.23,,,,,,,
JQ수산5,2020-10-29,19.21,,,,,,,
JQ수산5,2020-10-30,19.19,,,,,,,
JQ수산5,2020-10-31,19.18,,,,,,,
JQ수산5,2020-11-01,19.17,,,,,,,
JQ수산5,2020-11-02,19.15,,,,,,,
JQ수산5,2020-11-03,19.12,,,,,,,
JQ수산5,2020-11-04,19.08,,,,,,,
JQ수산5,2020-11-05,19.05,,,,,,,
JQ수산5,2020-11-06,19.04,,,,,,,
JQ수산5,2020-11-07,19.01,,,,,,,
JQ수산5,2020-11-08,18.95,,,,,,,
JQ수산5,2020-11-09,18.9,,,,,,,
JQ수산5,2020-11-10,18.85,,,,,,,
JQ수산5,2020-11-11,18.8,,,,,,,
JQ수산5,2020-11-12,18.77,,,,,,,
JQ수산5,2020-11-13,18.73,,,,,,,
JQ수산5,2020-11-14,18.68,,,,,,,
JQ수산5,2020-11-15,18.65,,,,,,,
JQ수산5,2020-11-16,18.61,,,,,,,
JQ수산5,2020-11-17,18.57,,,,,,,
JQ수산5,2020-11-18,18.56,,,,,,,
JQ수산5,2020-11-19,18.53,,,,,,,
JQ수산5,2020-11-20,18.43,,,,,,,
JQ수산5,2020-11-21,18.37,,,,,,,
JQ수산5,2020-11-22,18.32,,,,,,,
JQ수산5,2020-11-23,18.24,,,,,,,
JQ수산5,2020-11-24,18.19,,,,,,,
JQ수산5,2020-11-25,18.14,,,,,,,
JQ수산5,2020-11-26,18.08,,,,,,,
JQ수산5,2020-11-27,18.02,,,,,,,
JQ수산5,2020-11-28,17.95,,,,,,,
JQ수산5,2020-11-29,17.89,,,,,,,
JQ수산5,2020-11-30,17.81,,,,,,,
JQ수산5,2020-12-01,17.76,,,,,,,
JQ수산5,2020-12-02,17.72,,,,,,,
JQ수산5,2020-12-03,17.64,,,,,,,
JQ수산5,2020-12-04,17.58,,,,,,,
JQ수산5,2020-12-05,17.5,,,,,,,
JQ수산5,2020-12-06,17.44,,,,,,,
JQ수산5,2020-12-07,17.37,,,,,,,
JQ수산5,2020-12-08,17.31,,,,,,,
JQ수산5,2020-12-09,17.25,,,,,,,
JQ수산5,2020-12-10,17.2,,,,,,,
JQ수산5,2020-12-11,17.14,,,,,,,
JQ수산5,2020-12-12,17.07,,,,,,,
JQ수산5,2020-12-13,17.0,,,,,,,
JQ수산5,2020-12-14,16.89,,,,,,,
JQ수산5,2020-12-15,16.81,,,,,,,
JQ수산5,2020-12-16,16.75,,,,,,,
JQ수산5,2020-12-17,16.68,,,,,,,
JQ수산5,2020-12-18,16.62,,,,,,,
JQ수산5,2020-12-19,16.53,,,,,,,
JQ수산5,2020-12-20,16.46,,,,,,,
JQ수산5,2020-12-21,16.4,,,,,,,
JQ수산5,2020-12-22,16.34,,,,,,,
JQ수산5,2020-12-23,16.29,,,,,,,
JQ수산5,2020-12-24,16.23,,,,,,,
JQ수산5,2020-12-25,16.13,,,,,,,
JQ수산5,2020-12-26,16.06,,,,,,,
JQ수산5,2020-12-27,16.02,,,,,,,
JQ수산5,2020-12-28,15.93,,,,,,,
JQ수산5,2020-12-29,15.88,,,,,,,
JQ수산5,2020-12-30,15.78,,,,,,,
JQ수산5,2020-12-31,15.7,,,,,,,
JQ수산5,2021-01-01,15.64,,,,,,,
JQ수산5,2021-01-02,15.56,,,,,,,
JQ수산5,2021-01-03,15.47,,,,,,,
JQ수산5,2021-01-04,15.43,,,,,,,
JQ수산5,2021-01-05,15.36,,,,,,,
JQ수산5,2021-01-06,15.31,,,,,,,
JQ수산5,2021-01-07,15.22,,,,,,,
JQ수산5,2021-01-08,15.16,,,,,,,
JQ수산5,2021-01-09,15.08,,,,,,,
JQ수산5,2021-01-10,14.99,,,,,,,
JQ수산5,2021-01-11,14.93,,,,,,,
JQ수산5,2021-01-12,14.88,,,,,,,
JQ수산5,2021-01-13,14.82,,,,,,,
JQ수산5,2021-01-14,14.74,,,,,,,
JQ수산5,2021-01-15,14.68,,,,,,,
JQ수산5,2021-01-16,14.57,,,,,,,
JQ수산5,2021-01-17,14.5,,,,,,,
JQ수산5,2021-01-18,14.45,,,,,,,
JQ수산5,2021-01-19,14.35,,,,,,,
JQ수산5,2021-01-20,14.3,,,,,,,
JQ수산5,2021-01-21,14.25,,,,,,,
JQ수산5,2021-01-22,14.19,,,,,,,
JQ수산5,2021-01-23,14.14,,,,,,,
JQ수산5,2021-01-24,14.03,,,,,,,
JQ수산5,2021-01-25,13.99,,,,,,,
JQ수산5,2021-01-26,13.94,,,,,,,
JQ수산5,2021-01-27,13.87,,,,,,,
JQ수산5,2021-01-28,13.82,,,,,,,
JQ수산5,2021-01-29,13.73,,,,,,,
JQ수산5,2021-01-30,13.68,,,,,,,
JQ수산5,2021-01-31,13.62,,,,,,,
JQ수산5,2021-02-01,13.6,,,,,,,
JQ수산5,2021-02-02,13.5,,,,,,,
JQ수산5,2021-02-03,13.46,,,,,,,
JQ수산5,2021-02-04,13.4,,,,,,,
JQ수산5,2021-02-05,13.38,,,,,,,
JQ수산5,2021-02-06,13.34,,,,,,,
JQ수산5,2021-02-07,13.26,,,,,,,
JQ수산5,2021-02-08,13.17,,,,,,,
JQ수산5,2021-02-09,13.12,,,,,,,
JQ수산5,2021-02-10,13.09,,,,,,,
JQ수산5,2021-02-11,13.03,,,,,,,
JQ수산5,2021-02-12,12.97,,,,,,,
JQ수산5,2021-02-13,12.92,,,,,,,
JQ수산5,2021-02-14,12.91,,,,,,,
JQ수산5,2021-02-15,12.83,,,,,,,
JQ수산5,2021-02-16,12.77,,,,,,,
JQ수산5,2021-02-17,12.7,,,,,,,
