관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ금악4,2021-01-01,S11,50.58,,,,,,,2021-01
JQ금악4,2021-02-01,S11,50.702,,,,,,,2021-02
JQ금악4,2021-03-01,S11,50.573,,,,,,,2021-03
JQ금악4,2021-04-01,S11,50.201,,,,,,,2021-04
JQ금악4,2021-05-01,S11,49.815,,,,,,,2021-05
JQ금악4,2021-06-01,S11,49.544,,,,,,,2021-06
JQ금악4,2021-07-01,S11,49.331,,,,,,,2021-07
JQ금악4,2021-08-01,S11,49.002,,,,,,,2021-08
JQ금악4,2021-09-01,S11,48.77,,,,,,,2021-09
JQ금악4,2021-10-01,S11,48.892,,,,,,,2021-10
JQ금악4,2021-11-01,S11,49.026,,,,,,,2021-11
JQ금악4,2021-12-01,S11,48.98,,,,,,,2021-12
JQ금악4,2022-01-01,S11,48.868,,,,,,,2022-01
JQ금악4,2022-02-01,S11,48.494,,,,,,,2022-02
JQ금악4,2022-03-01,S11,47.964,,,,,,,2022-03
JQ금악4,2022-04-01,S11,47.262,,,,,,,2022-04
JQ금악4,2022-05-01,S11,46.5,,,,,,,2022-05
JQ금악4,2022-06-01,S11,45.683,,,,,,,2022-06
JQ금악4,2022-07-01,S11,44.945,,,,,,,2022-07
JQ금악4,2022-08-01,S11,44.327,,,,,,,2022-08
JQ금악4,2022-09-01,S11,44.072,,,,,,,2022-09
JQ금악4,2022-10-01,S11,44.209,,,,,,,2022-10
JQ금악4,2022-11-01,S11,44.244,,,,,,,2022-11
JQ금악4,2022-12-01,S11,44.04,,,,,,,2022-12
JQ금악4,2023-01-01,S11,43.665,,,,,,,2023-01
JQ금악4,2023-02-01,S11,43.234,,,,,,,2023-02
JQ금악4,2023-03-01,S11,42.871,,,,,,,2023-03
JQ금악4,2023-04-01,S11,42.462,,,,,,,2023-04
JQ금악4,2023-05-01,S11,42.216,,,,,,,2023-05
JQ금악4,2023-06-01,S11,42.485,,,,,,,2023-06
JQ금악4,2023-07-01,S11,43.153,,,,,,,2023-07
JQ금악4,2023-08-01,S11,44.289,,,,,,,2023-08
JQ금악4,2023-09-01,S11,45.405,,,,,,,2023-09
JQ금악4,2023-10-01,S11,46.583,,,,,,,2023-10
JQ금악4,2023-11-01,S11,47.502,,,,,,,2023-11
JQ금악4,2023-12-01,S11,48.08,,,,,,,2023-12
JQ금악4,2024-01-01,S11,48.302,,,,,,,2024-01
JQ금악4,2024-02-01,S11,48.258,,,,,,,2024-02
JQ금악4,2024-03-01,S11,47.992,,,,,,,2024-03
JQ금악4,2024-04-01,S11,47.498,,,,,,,2024-04
JQ금악4,2024-05-01,S11,47.243,,,,,,,2024-05
JQ금악4,2024-06-01,S11,47.297,,,,,,,2024-06
JQ금악4,2024-07-01,S11,47.672,,,,,,,2024-07
JQ금악4,2024-08-01,S11,48.228,,,,,,,2024-08
JQ금악4,2024-09-01,S11,48.585,,,,,,,2024-09
JQ금악4,2024-10-01,S11,48.785,,,,,,,2024-10
JQ금악4,2024-11-01,S11,48.783,,,,,,,2024-11
JQ금악4,2024-12-01,S11,48.788,,,,,,,2024-12
JQ금악4,2025-01-01,S11,48.725,,,,,,,2025-01
JQ금악4,2025-02-01,S11,48.449,,,,,,,2025-02
JQ금악4,2025-03-01,S11,48.062,,,,,,,2025-03
JQ금악4,2025-04-01,S11,47.745,,,,,,,2025-04
JQ금악4,2025-05-01,S11,47.218,,,,,,,2025-05
JQ금악4,2025-06-01,S11,46.828,,,,,,,2025-06
JQ금악4,2025-07-01,S11,46.578,,,,,,,2025-07
JQ금악4,2025-08-01,S11,46.272,,,,,,,2025-08
JQ금악4,2025-09-01,S11,45.881,,,,,,,2025-09
JQ금악4,2025-10-01,S11,45.527,,,,,,,2025-10
JQ금악4,2025-11-01,S11,45.1,,,,,,,2025-11
JQ금악4,2025-12-01,S11,44.583,,,,,,,2025-12
JQ금악4,2026-01-01,S11,44.024,,,,,,,2026-01
JQ금악4,2026-02-01,S11,43.478,,,,,,,2026-02
JQ금악4,2026-03-01,S11,43.024,,,,,,,2026-03
JQ금악4,2026-04-01,S11,42.587,,,,,,,2026-04
